"ID","Title","Created By","References","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)"
"C1532","2 FOBs, 2 Feet, Duration = 60, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1538","2 FOBs, 5 Feet, Duration = 60, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1539","2 FOBs, 8 Feet, Duration = 60, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 0 degrees (directly face-to-face).","","","","","",""
"C1540","2 FOBs, 2 Feet, Duration = 60, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 45 degrees.","","","","","",""
"C1541","2 FOBs, 5 Feet, Duration = 60, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 45 degrees.","","","","","",""
"C1542","2 FOBs, 8 Feet, Duration = 60, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 45 degrees.","","","","","",""
"C1543","2 FOBs, 2 Feet, Duration = 60, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 90 degrees.","","","","","",""
"C1544","2 FOBs, 5 Feet, Duration = 60, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 90 degrees.","","","","","",""
"C1545","2 FOBs, 8 Feet, Duration = 60, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 90 degrees.","","","","","",""
"C1546","3 FOBs, 2 Feet, Duration = 60, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1547","3 FOBs, 5 Feet, Duration = 60, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1548","3 FOBs, 8 Feet, Duration = 60, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, roughly the shape of an equilateral triangle.","","","","","",""
"C1549","2 FOBs, 2 Feet, Duration = 60, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, back 0 degrees (directly back-to-back).
","","","","","",""
"C1550","2 FOBs, 5 Feet, Duration = 60, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, back 0 degrees (directly back-to-back).
","","","","","",""
"C1551","2 FOBs, 8 Feet, Duration = 60, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 60
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, back 0 degrees (directly back-to-back).","","","","","",""
"C1573","FOBs alert, clear alert, then refire","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 0 degrees (directly face-to-face). In Bluzone alert list, observe an alert occurs for each beacon.

Clear the alerts from the list.","","","","","",""
"C1552","2 FOBs, 3 Feet, Duration = 30, 12 o'clock","F17138803802513","","Place the FOBs 3 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1554","2 FOBs, 5 Feet, Duration = 30, 12 o'clock","F17138803802513","","Place the FOBs 5 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1555","2 FOBs, 9 Feet, Duration = 30, 12 o'clock","F17138803802513","","Place the FOBs 9 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1556","2 FOBs, 3 Feet, Duration = 30, 2 o'clock","F17138803802513","","Place the FOBs 3 feet apart, facing 2 o'clock.","","","","","",""
"C1557","2 FOBs, 5 Feet, Duration = 30, 2 o'clock","F17138803802513","","Place the FOBs 5 feet apart, 2 o'clock.","","","","","",""
"C1558","2 FOBs, 9 Feet, Duration = 30, 2 o'clock","F17138803802513","","Place the FOBs 9 feet apart, 2 o'clock.","","","","","",""
"C1559","2 FOBs, 3 Feet, Duration = 30, 9 o'clock","F17138803802513","","Place the FOBs 3 feet apart, 9 o'clock.","","","","","",""
"C1560","2 FOBs, 5 Feet, Duration = 30, 9 o'clock","F17138803802513","","Place the FOBs 5 feet apart, facing 9 o'clock.
","","","","","",""
"C1561","2 FOBs, 9 Feet, Duration = 30, 9 o'clock","F17138803802513","","Place the FOBs 9 feet apart, facing 9 o'clock.
","","","","","",""
"C1562","3 FOBs, 3 Feet, Duration = 30, Equilateral","F17138803802513","","Place the FOBs 3 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1570","3 FOBs, 5 Feet, Duration = 30, Equilateral","F17138803802513","","Place the FOBs 5 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1571","3 FOBs, 9 Feet, Duration = 30, Equilateral","F17138803802513","","Place the FOBs 9 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C2355","Wake device from sleep","F17138803802513","","Confirm the device is asleep by using a scan tool to check if it can be seen.
Hold the button for 3 seconds.","","","","","",""
"C526","1 beacon alerts global (Duress Button Dashboard-Page)","F17138803802513","","Configure 1 Blufi and 1 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Use Global Scope = Click/checked
...Notifications = Add Email Addresses
...Click save and the policy will be created

Go to Duress Button Dashboard - Page (https://bztest.bluzone.io/console/#/panic/-/dashboard)
...Press and hold the Duress Button beacon for at list 3 sec or when light start flushing and release it.
","","","","","",""
"C527","1 beacon alerts non-global  (Duress Button Dashboard-Page)","F17138803802513","","Configure 1 Blufi and 1 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Select -  Select Individual Devices = Click Save And Continue
...Click Add and select a subject beacon and click Save
...Notifications = add Email Addresses
...Click save and the policy will be created

Go to Duress Button Dashboard - Page (https://bztest.bluzone.io/console/#/panic/-/dashboard)
...Press and hold the Duress Button beacon for at list 3 sec or when light start flushing and release it.","","","","","",""
"C528","3 beacons alert global (Duress Button Dashboard-Page)","F17138803802513","","Configure 1 Blufi and 3 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Use Global Scope = Click/checked
...Notifications = Add Email Addresses
...Click save and the policy will be created

Go to Duress Button Dashboard - Page (https://bztest.bluzone.io/console/#/panic/-/dashboard)
...Press and hold the Duress Button beacon for at list 3 sec or when light start flushing and release it.","","","","","",""
"C529","3 beacons alert non-global (Duress Button Dashboard-Page)","F17138803802513","","Configure 1 Blufi and 3 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Select - Select Individual Devices = Click Save And Continue
...Click Add and select a subject beacon and click Save
...Notifications = add Email Addresses
...Click save and the policy will be created

Go to Duress Button Dashboard - Page (https://bztest.bluzone.io/console/#/panic/-/dashboard)
...Press and hold the Duress Button beacon for at list 3 sec or when light start flushing and release it.","","","","","",""
"C530","1 beacon alerts notification (Alert page)","F17138803802513","","Configure 1 Blufi and 1 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Use Global Scope = Click/checked
...Notifications = Add Email Addresses
...Click save and the policy will be created

Go to Alerts Page (https://bztest.bluzone.io/console/#/alerts)
...Press and hold the Duress Button beacon for at list 3 sec or when light starts flashing and release it.","","","","","",""
"C531","3 beacons alert notification (Alerts page)","F17138803802513","","Configure 1 Blufi and 3 Duress Button Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Duress Button
...Namespace = Beacon by default
...Use Global Scope = Click/checked
...Notifications = Add Email Addresses
...Click save and the policy will be created

Go to Alerts Page (https://bztest.bluzone.io/console/#/alerts)
...Press and hold the Duress Button beacon for at list 3 sec or when light start flushing and release it.","","","","","",""
"C2541","Fob alerts with Buzzer Enabled","F17138803802513","","Configure FOB to enable buzzer.

Press the Duress buttons.  ","","","","","",""
"C2542","Fob alerts with Buzzer Disabled","F17138803802513","","Configure FOB to disable buzzer.

Press the Duress buttons.","","","","","",""
"C2809","Policy Name includes Hebrew characters","F17138803802513","","Establish Policy Name to include some UTF-8 Hebrew characters: Nir - בדיקת טמפרטורה

On FOB, change Device Name to include Hebrew characters: Nir - בדיקת טמפרטורה

On Blufi (nearby device for Duress), change name to include טמפרטורה


Violate the policy.
   ","","","","","",""
"C2907","Verify Duress Policy Alerts - with location floorplan image","Eber Garcia","","
- Given a project that is configured for Asset Tracking
- And has a location with a floor plan
- And has a working Duress policy that is configured with my email address
- When I trigger a Duress alert by long-pressing the button(s) on my beacon

Alert was trigged and user should received an email notification  ","","","","","",""
"C173","Beacon out violate global","F17138803802513","","Establish Geofence policy:
...Violation State = Leaves zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Global Scope = yes
...Email Addresses = n/a

Place beacon in the zone for at least Duration.
Move beacon outside the zone for at least Duration.","","","","","",""
"C174","Beacon in un-violate global","F17138803802513","","Move beacon inside the zone for at least Duration.","","","","","",""
"C181","Beacon in violate global","F17138803802513","","Establish Geofence policy:
...Violation State = Enter zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Global Scope = yes
...Email Addresses = n/a

Place beacon outside the zone for at least Duration.
Move beacon inside the zone for at least Duration.","","","","","",""
"C182","Beacon out un-violate global","F17138803802513","","Move beacon outside the zone for at least Duration.","","","","","",""
"C175","Beacon in violate non-global","F17138803802513","","Establish Geofence policy:
...Violation State = Enter zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Select Individual Devices = yes and Click Save
...Add 3 beacon to the Devise list > click save
...Email Addresses = n/a
...Click Save

Place beacon outside the zone for at least Duration.
Move beacon inside the zone for at least Duration.","","","","","",""
"C176","Beacon out un-violate non-global","F17138803802513","","Move beacon outside the zone for at least Duration.","","","","","",""
"C183","Beacon out violate non-global","F17138803802513","","Establish Geofence policy:
...Violation State = Leaves zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Select Individual Devices = yes
...Email Addresses = n/a

Place beacon in the zone for at least Duration.
Move beacon outside the zone for at least Duration.","","","","","",""
"C184","Beacon in un-violate non-global","F17138803802513","","Move beacon inside the zone for at least Duration.","","","","","",""
"C177","Beacon out violate email","F17138803802513","","Establish Geofence policy:
...Violation State = Leaves zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Global Scope = yes
...Email Addresses = add user email

Place beacon in the zone for at least Duration.
Move beacon outside the zone for at least Duration.","","","","","",""
"C2774","Beacon out violate label","F17138803802513","","","","","","","",""
"C2775","Beacon in un-violate label","F17138803802513","","","","","","","",""
"C2776","Beacon in violate label","F17138803802513","","","","","","","",""
"C2777","Beacon out un-violate label","F17138803802513","","","","","","","",""
"C178","Beacon in un-violate email","F17138803802513","","Establish Geofence policy:
...Violation State = Leaves zone
...Variance Threshold = 2
...Duration = 10 seconds.
...Global Scope = yes
...Email Addresses = add user email

Place beacon in the zone for at least Duration.
Move beacon outside the zone for at least Duration.","","","","","",""
"C2592","Create Policy Enable Geofence Contact Tracing","F17138803802513","","","","","","","",""
"C2593","Create Policy Disable Geofence Contact Tracing","F17138803802513","","","","","","","",""
"C2594","Edit Policy Enable Geofence Contact Tracing","F17138803802513","","","","","","","",""
"C2595","All Geofence policies have Geofence Contact Tracing Enabled","F17138803802513","","","","","","","",""
"C2805","Policy Name includes Hebrew characters","F17138803802513","","Establish Policy Name to include some UTF-8 Hebrew characters: Nir - בדיקת טמפרטורה

On Beacon, change Device Name to include Hebrew characters: Nir - בדיקת טמפרטורה

Violate the policy.
   ","","","","","",""
"C2636","Data is saved in Scylla when GMS alert occurs","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause a Geofence alert to occur.","","","","","",""
"C2637","Data is not saved in Scylla when there is no GMS alert","F17138803802513","","Establish a Geofence policy and devices properly configured.
Position the beacons so that a Geofence alert will not occur.","","","","","",""
"C2638","Data is not saved in Scylla when the GMS policy flag is not set","F17138803802513","","Establish a Geofence policy and devices properly configured.
Position the beacons so that a Geofence alert will occur.","","","","","",""
"C2639","Data is not saved in Scylla when the GMS project flag is not set","F17138803802513","","Establish a Geofence policy and devices properly configured.
Position the beacons so that a Geofence alert will occur.","","","","","",""
"C2640","GMS data in Scylla is removed after 7 days.","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause a Geofence alert to occur.
Over the next 8 days, cause alerts to occur each day.","","","","","",""
"C2641","GMS data from the previous day is saved in S3","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause a Geofence alert to occur.
Over the next 8 days, cause alerts to occur each day.","","","","","",""
"C2642","The S3 system must expire the archived data after 30 days","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause a Geofence alert to occur.
Over the next 32 days, cause alerts to occur each day.","","","","","",""
"C2643","Contact Report 6 hours for today","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period today.","","","","","",""
"C2644","Contact Report 6 hours for yesterday","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Wait 1 day.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period yesterday.","","","","","",""
"C2645","Contact Report 6 hours for 2 days ago","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Wait 2 days.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period 2 days ago.","","","","","",""
"C2646","Contact Report 6 hours for 7 days ago","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Wait 7 days.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period 7 days ago.","","","","","",""
"C2647","Contact Report 6 hours for 8 days ago","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Wait 8 days.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period 8 days ago.","","","","","",""
"C2648","Contact Report 6 hours start yesterday end today","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Wait 1 day.
Go to Distance Tracking Dashboard and get Contact Report for 6 hour time period starting yesterday and ending today.","","","","","",""
"C2649","Contact Report more than 24 hours","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Go to Distance Tracking Dashboard and get Contact Report for more than 24 hours.","","","","","",""
"C2650","Contact Report more than 48 hours","F17138803802513","","Establish a Geofence policy and devices properly configured.
Cause Geofence alerts to occur.
Go to Distance Tracking Dashboard and get Contact Report for more than 48 hours.","","","","","",""
